,Therapy,Mindfulness,DistressTolerance,EmotionalRegulation,InterpersonalEffectiveness
ACCEPTS,DBT,10,70,10,10
IMPROVE,DBT,20,70,10,0
TIPP,DBT,0,90,10,0
PLEASE,DBT,5,20,70,5
STOP,DBT,0,90,10,0
DEAR MAN,DBT,10,10,10,70
GIVE FAST,DBT,15,0,15,70
Journaling,CBT,50,20,20,10
Relaxed Breathing,CBT,60,30,10,0
Play the Script until the end,CBT,60,25,15,0
Body Scan and Relaxation,Self-Compassion,60,30,10,0
Creating a Safe Place,Self-Compassion,60,30,10,0
Self-Compassion Break,Self-Compassion,30,30,30,10
Window of Tolerance,Self-Compassion,20,40,40,0
RAIN,Self-Compassion,20,50,30,0
